1,0.1968824603,0.8187315065,2|44,2
2,0.2450498525,0.8187315065,1|3,2
3,0.2765061087,0.8187315065,2|4,2
4,0.311332678,0.8187315065,3|5,2
5,0.3328184244,0.8187315065,4|6|8|54,2
6,0.3328184244,0.8665894764,5|7,2
7,0.3361887375,0.8941206741,6,2
8,0.3770537846,0.8187315065,5|9,2
9,0.4326639517,0.8187315065,8|95,2
10,0.4788653279,0.8187315065,9|11|12|51|52|55|94|95,2
11,0.5685999157,0.8505081693,10|12|14|52|55|95,2
12,0.601460469,0.8187315065,10|11|13|14|52|55,2
13,0.6444319618,0.8187315065,12,2
14,0.601460469,0.7604528496,11|12|15|52|55|60|87,2
15,0.601460469,0.7230155667,14|16,2
16,0.601460469,0.6691110253,15|17,2
17,0.601460469,0.6199665509,16|18,2
18,0.601460469,0.5856168789,17|19,2
19,0.601460469,0.5102277113,18|20|21,2
20,0.6281421149,0.5149877782,19|21,2
21,0.590647381,0.5102277113,19|20|22,2
22,0.5424799888,0.5102277113,21|23|53,2
23,0.5444460048,0.386465972,22|30,2
24,0.3978373824,0.197735752,25|56|69,2
25,0.3287459626,0.2542133025,24|26|27|28|69,2
26,0.3461592473,0.2774990351,25|27|28,2
27,0.3059963488,0.3033577769,25|26|28,2
28,0.3234096335,0.3033577769,25|26|27|29,2
29,0.3234096335,0.3554612119,28|30,2
30,0.3234096335,0.4015180754,23|29|31,2
31,0.3234096335,0.4462884343,30|32,2
32,0.3234096335,0.462241091,31|33,2
33,0.3234096335,0.5483082465,32|34,2
34,0.3234096335,0.5642609031,33|35|45|47,2
35,0.2677994664,0.5642609031,34|36,2
36,0.2296025839,0.5642609031,35|37,2
37,0.1968824603,0.5642609031,36|38|39,2
38,0.1613537425,0.5642609031,37,2
39,0.1968824603,0.618036794,37|40,2
40,0.1968824603,0.6593335906,39|41|43,2
41,0.2317090296,0.6593335906,40|42|75,2
42,0.2470158686,0.6593335906,41|46,2
43,0.1968824603,0.7550495304,40|44,2
44,0.1968824603,0.7796217677,1|43,2
45,0.3234096335,0.5851022771,34|46,2
46,0.3260777981,0.6857069343,42|45|54,2
47,0.3910967561,0.5642609031,34|48,2
48,0.4641202078,0.5642609031,47|49|53,2
49,0.4641202078,0.604785797,48|50,2
50,0.4641202078,0.725073974,49|51,2
51,0.4641202078,0.7397401261,10|50|94,2
52,0.5016149417,0.7722886916,10|11|12|14|55|88|94|95,2
53,0.4680522399,0.5102277113,22|48,2
54,0.3328184244,0.7692010807,5|46,2
55,0.4982446286,0.7986620353,10|11|12|14|52|94|95,2
56,0.7351664255,0.7342857143,57|69|24,1
57,0.677568741,0.7342857143,56|58,1
58,0.6428364689,0.7342857143,57|59,1
59,0.6428364689,0.7607792208,58|60,1
60,0.6428364689,0.7750649351,14|59|61|87,1
61,0.6428364689,0.8116883117,60|62,1
62,0.5846599132,0.8116883117,61|63|65|92,1
63,0.5322720695,0.7618181818,62|64|65|92,1
64,0.5322720695,0.7280519481,63,1
65,0.4680173661,0.7935064935,62|63|66|92,1
66,0.4393632417,0.8025974026,65|67,1
67,0.4393632417,0.9046753247,66|68,1
68,0.4393632417,0.8745454545,67,1
69,0.5076700434,0.2924675325,24|25,1
70,0.8805928412,0.7980024969,71|72|97,3
71,0.8464765101,0.768289638,70|72|93,3
72,0.7916666667,0.7980024969,70|71|73,3
73,0.7220357942,0.7980024969,72|74|75|91,3
74,0.7220357942,0.768289638,73|75|91|93,3
75,0.6904362416,0.768289638,41|73|74|91,3
76,0.6554809843,0.8721598002,77|91,3
77,0.5945190157,0.7980024969,76|91|78,3
78,0.5536912752,0.7980024969,77|79|80|81|82,3
79,0.4868568233,0.8057428215,78|80|81|82,3
80,0.4983221477,0.7747815231,78|79|81|82,3
81,0.4628076063,0.7980024969,78|79|80|82,3
82,0.4628076063,0.8207240949,78|79|80|81,3
83,0.8190715884,0.5016229713,93|96|97,3
84,0.7975391499,0.4813982522,83|85|86|97,3
85,0.7975391499,0.4501872659,84|86|87|88|89|98,3
86,0.7762863535,0.4042446941,84|85|87|88|98,3
87,0.7332214765,0.4042446941,14|85|86|88|89|98,3
88,0.7251118568,0.4354556804,52|85|86|87|89|98,3
89,0.7144854586,0.4042446941,85|87|88|98,3
90,0.6068232662,0.3987515605,89,3
91,0.6904362416,0.7980024969,73|74|75|76|77,3
92,0.5617945007,0.7896103896,62|63|65,1
93,0.8056487696,0.6384519351,83,3
94,0.4641202078,0.8187315065,10|51|52|55,2
95,0.4641202078,0.7966036279,9|10|11|52|55,2
96,0.8805928412,0.5016229713,70|83,3
97,0.7955816555,0.5016229713,83|84,3
98,0.7502796421,0.4157303371,85|86|87|88|89,3
